month,ad_channel,impressions,Ad_spend,clicks,conversions,revenue,campaign_id,campaign_name
11/30/2022,social_media,581440,2202.28,4715,430,761476.31,DGX-08327,SupplyDrive2021
2/14/2022,content_marketing,356481,6499.35,5140,404,634665.18,OFA-43522,ClassroomEssentialsCampaign
12/25/2022,email_marketing,701122,6514.2,5598,595,459231.49,MCS-12184,BackToSchoolBash
9/29/2022,influencer_partnership,32491,5716.17,4923,820,227803.22,FUI-58775,SupplyDrive2021
3/26/2022,email_marketing,995057,8905.06,283,659,980322.14,MCA-27870,SchoolSuppliesSpectacular
3/24/2022,affiliate_network,848142,6100.2,2067,189,957590.46,OYA-43882,SupplyDrive2021
2/4/2022,display_ads,223321,1914.05,9402,417,172252.86,PRA-96374,LearningToolsDrive
11/28/2022,search_engine,921274,9299.07,9922,806,429450.97,PCF-85489,SchoolSuppliesSpectacular
1/7/2022,podcast_sponsorship,970309,5491.65,9659,774,346782.55,CZD-46194,BackToSchoolBash
6/17/2022,display_ads,362196,883.79,9820,764,70709.27,FZZ-49723,SupplyDrive2021
8/21/2022,email_marketing,325974,8638.86,3849,590,895894.54,JAD-42487,BackToSchoolBash
3/17/2022,video_ads,494710,8800.03,6983,904,151946.36,YSF-03469,LearningToolsDrive
4/12/2022,video_ads,704713,860.42,2282,289,454740.11,QJE-92551,SchoolSuppliesSpectacular
9/19/2022,social_media,799325,9746.61,3712,103,244004.03,ZDK-62471,SupplyDrive2021
2/28/2022,social_media,462963,1204.97,1769,168,250380.24,WQP-13508,BackToSchoolBash
12/2/2022,email_marketing,400034,9309.62,9434,49,160471.69,MQT-90996,SupplyDrive2021
1/15/2022,social_media,758678,8196.22,7221,632,79858.28,JKD-45514,ClassroomEssentialsCampaign
9/19/2022,search_engine,341089,8628.77,7650,182,320122.21,HGB-86620,LearningToolsDrive
10/19/2022,display_ads,543275,6110.34,3587,67,951233.18,VRK-42242,LearningToolsDrive
8/17/2022,social_media,333441,6552.71,8412,421,67205.72,NQS-74096,LearningToolsDrive
1/17/2022,native_advertising,676734,5536.93,2075,847,333678.94,XGZ-25239,SchoolSuppliesSpectacular
10/29/2022,affiliate_network,650288,2031.33,2830,454,434737.54,DYJ-27124,BackToSchoolBash
9/6/2022,influencer_partnership,443270,2548.93,5909,37,152558.15,MUW-27173,ClassroomEssentialsCampaign
4/5/2022,native_advertising,819435,9186.35,826,312,274145.26,KGQ-94906,SupplyDrive2021
5/10/2022,display_ads,936835,2934.36,9263,354,917854.17,SZU-64380,ClassroomEssentialsCampaign
7/27/2022,content_marketing,625171,7853.12,8065,786,568666.82,DDF-57148,BackToSchoolBash
6/21/2022,display_ads,135451,8224.45,5206,106,513442.01,QFO-14618,SupplyDrive2021
12/15/2022,podcast_sponsorship,125781,8323.62,6730,810,689357.82,LKH-98203,SupplyDrive2021
3/14/2022,influencer_partnership,635266,7457.16,7805,835,676288.01,HBR-53202,BackToSchoolBash
7/10/2022,content_marketing,145565,5775.69,1994,139,997955.5,BNA-11033,BackToSchoolBash
5/5/2022,email_marketing,276033,8075.0,5169,675,819324.49,KCT-35718,SchoolSuppliesSpectacular
12/13/2022,content_marketing,248423,8547.63,9886,208,782367.55,SCW-96423,SchoolSuppliesSpectacular
11/20/2022,display_ads,562069,6366.87,4330,387,478062.34,LQB-99165,BackToSchoolBash
11/28/2022,podcast_sponsorship,527214,1561.83,4684,919,202513.46,PSK-71709,SchoolSuppliesSpectacular
4/27/2022,content_marketing,131618,5907.01,1633,957,256867.84,GHO-42228,LearningToolsDrive
3/6/2022,social_media,667387,6814.82,9266,7,719665.22,UQM-29572,SupplyDrive2021
7/21/2022,video_ads,369511,4363.52,9019,462,228797.57,EDF-73681,ClassroomEssentialsCampaign
11/25/2022,native_advertising,362151,2917.45,6110,805,346062.38,KJQ-23146,ClassroomEssentialsCampaign
7/29/2022,video_ads,485926,1357.47,8213,814,303103.55,QVN-15230,LearningToolsDrive
9/30/2022,video_ads,16989,8093.4,1804,48,759768.05,UDX-45535,SchoolSuppliesSpectacular
12/4/2022,email_marketing,561140,7676.29,8082,424,452011.88,LAT-20971,SupplyDrive2021
7/2/2022,search_engine,888823,7143.37,7350,842,562600.04,MUU-24205,LearningToolsDrive
7/21/2022,social_media,111732,2371.88,4544,923,892265.38,PHE-01181,SchoolSuppliesSpectacular
6/9/2022,email_marketing,712624,7515.28,2344,481,712437.29,AXO-77759,LearningToolsDrive
10/19/2022,video_ads,215250,8384.22,3506,128,643647.55,XVJ-64747,BackToSchoolBash
6/1/2022,email_marketing,941384,7080.72,2546,72,930896.24,ILA-45051,SchoolSuppliesSpectacular
3/24/2022,podcast_sponsorship,203603,5776.43,3203,502,557717.59,BLO-26039,ClassroomEssentialsCampaign
2/1/2022,email_marketing,835727,8368.43,2819,550,643893.38,VHC-68760,BackToSchoolBash
9/11/2022,social_media,647993,3681.45,5656,505,304281.51,ODP-14965,SchoolSuppliesSpectacular
10/15/2022,display_ads,398816,7295.06,798,966,356156.97,TMH-17688,BackToSchoolBash
2/1/2022,content_marketing,625762,9911.8,5730,936,881562.14,LGY-36240,LearningToolsDrive
5/22/2022,influencer_partnership,606326,675.54,297,566,297327.64,UCQ-03173,LearningToolsDrive
8/13/2022,video_ads,302562,7023.1,9716,378,535309.87,EUL-84735,ClassroomEssentialsCampaign
3/17/2022,video_ads,532999,1802.58,7990,186,713711.48,GLH-26227,BackToSchoolBash
9/30/2022,influencer_partnership,304258,8171.98,9480,143,620943.01,ZAQ-00016,SchoolSuppliesSpectacular
12/3/2022,influencer_partnership,893641,3935.09,3115,511,740940.44,IOB-89880,SchoolSuppliesSpectacular
2/24/2022,email_marketing,400363,1215.54,1935,131,747540.69,CVF-94306,SupplyDrive2021
12/11/2022,display_ads,148834,1452.88,697,479,928641.69,ASD-88323,ClassroomEssentialsCampaign
5/5/2022,affiliate_network,589860,2526.51,1896,618,457545.9,VIP-85681,SupplyDrive2021
11/16/2022,display_ads,639585,7549.12,5119,65,499958.08,JFP-86679,SchoolSuppliesSpectacular
3/26/2022,social_media,221253,6321.28,826,987,870758.79,POU-54841,ClassroomEssentialsCampaign
11/27/2022,native_advertising,431237,1534.28,2946,190,353247.79,EAF-47190,SchoolSuppliesSpectacular
11/3/2022,influencer_partnership,476853,5751.96,8156,540,416753.15,FIK-78783,SupplyDrive2021
1/27/2022,search_engine,807355,3289.95,9524,660,189610.63,AGC-24011,BackToSchoolBash
11/5/2022,podcast_sponsorship,912446,2700.63,8314,278,75812.65,TBA-07219,BackToSchoolBash
7/18/2022,content_marketing,369916,4396.43,4446,913,934104.08,CBR-30577,SchoolSuppliesSpectacular
12/17/2022,social_media,185880,3511.79,3609,277,841081.99,VBY-15887,SchoolSuppliesSpectacular
12/12/2022,video_ads,246281,8558.84,9799,429,875494.5,UER-41897,ClassroomEssentialsCampaign
9/2/2022,influencer_partnership,183861,4707.73,8055,129,762665.08,AJQ-79528,SupplyDrive2021
12/13/2022,influencer_partnership,29308,720.75,2364,244,223100.86,HAH-70197,SchoolSuppliesSpectacular
2/1/2022,display_ads,431912,5792.24,1713,285,757932.55,IXE-29853,ClassroomEssentialsCampaign
10/2/2022,affiliate_network,234190,6763.15,4730,564,80035.88,TKD-30275,ClassroomEssentialsCampaign
3/3/2022,podcast_sponsorship,840754,5393.25,4186,426,209006.45,VXZ-14433,SchoolSuppliesSpectacular
5/24/2022,influencer_partnership,307496,2425.43,790,310,505050.81,HQJ-93968,BackToSchoolBash
3/17/2022,display_ads,504435,7414.58,6765,823,359918.5,ULD-68645,ClassroomEssentialsCampaign
3/8/2022,email_marketing,703050,6098.79,9246,692,264811.3,VQJ-92615,LearningToolsDrive
2/20/2022,video_ads,406871,5882.37,1258,156,702982.35,VTH-52960,LearningToolsDrive
2/23/2022,podcast_sponsorship,831902,1160.73,3067,427,698340.64,FHQ-13412,SchoolSuppliesSpectacular
4/17/2022,podcast_sponsorship,72599,2883.61,6295,552,904215.57,JLG-29948,ClassroomEssentialsCampaign
12/9/2022,influencer_partnership,665503,2881.95,3300,709,445764.07,LKT-15657,BackToSchoolBash
2/17/2022,influencer_partnership,468580,929.01,7697,389,536543.9,SJR-37459,LearningToolsDrive
4/6/2022,affiliate_network,79114,6359.0,8589,226,688203.31,PTW-21918,SupplyDrive2021
8/5/2022,influencer_partnership,824188,7116.44,4446,927,538946.33,ZCR-26065,SupplyDrive2021
7/18/2022,search_engine,384339,9539.64,1559,670,710303.94,YYB-67561,LearningToolsDrive
4/17/2022,social_media,137637,2632.82,5724,186,343361.79,SMR-83144,SupplyDrive2021
8/18/2022,native_advertising,566960,4243.74,1256,733,152080.68,FLJ-87325,LearningToolsDrive
6/10/2022,display_ads,468005,4802.93,706,164,75575.22,RHU-47509,SchoolSuppliesSpectacular
2/26/2022,affiliate_network,997794,8453.43,3567,379,939120.54,NQF-37499,SchoolSuppliesSpectacular
4/4/2022,influencer_partnership,460464,8058.59,9798,915,563251.41,AGL-43279,SupplyDrive2021
5/21/2022,influencer_partnership,207147,251.23,3607,233,89143.86,IJB-75522,SchoolSuppliesSpectacular
2/28/2022,search_engine,435826,6797.24,8480,686,912607.15,QIZ-71634,ClassroomEssentialsCampaign
4/18/2022,video_ads,961917,7941.1,6215,779,633608.76,HAC-28425,ClassroomEssentialsCampaign
5/7/2022,video_ads,613370,6567.32,9966,280,336224.21,OFJ-64275,LearningToolsDrive
2/10/2022,native_advertising,322381,6221.96,5968,676,173876.77,CBR-08209,SupplyDrive2021
2/2/2022,email_marketing,950209,7695.12,2472,55,945340.07,SSH-37064,SchoolSuppliesSpectacular
7/12/2022,social_media,857904,1241.04,1763,982,228679.23,VTZ-77834,SupplyDrive2021
3/25/2022,native_advertising,913817,5764.54,1954,472,747054.91,GIM-36066,LearningToolsDrive
8/27/2022,affiliate_network,441844,9616.17,5941,206,163825.06,QEJ-28451,SchoolSuppliesSpectacular
3/18/2022,social_media,741629,4951.35,7511,546,480015.2,KUF-12034,LearningToolsDrive
1/13/2022,native_advertising,975542,6007.17,1947,857,902669.94,KCP-79282,SchoolSuppliesSpectacular
4/22/2022,social_media,202923,9367.23,8865,32,838101.02,GYR-44498,BackToSchoolBash
6/25/2022,podcast_sponsorship,607374,9041.94,8428,966,231505.68,DPF-46372,BackToSchoolBash
9/8/2022,email_marketing,246772,5749.51,7221,971,333202.44,AFQ-76958,SupplyDrive2021
9/23/2022,search_engine,647457,1359.81,9009,965,486633.94,LCP-49384,LearningToolsDrive
5/26/2022,search_engine,158564,7700.14,3164,376,817511.81,KIH-66022,ClassroomEssentialsCampaign
6/28/2022,influencer_partnership,481229,8402.45,7927,761,447690.6,CZF-65725,LearningToolsDrive
2/1/2022,native_advertising,951734,5232.31,7700,365,451235.43,MTK-43840,BackToSchoolBash
7/24/2022,affiliate_network,485313,8236.88,4375,965,158998.12,OZR-16831,SchoolSuppliesSpectacular
8/31/2022,social_media,551063,1553.43,9252,144,849036.36,SKK-70385,LearningToolsDrive
12/26/2022,content_marketing,203087,445.38,8558,313,436429.6,SLU-60788,ClassroomEssentialsCampaign
12/6/2022,email_marketing,683361,2343.37,7509,347,102309.16,ESJ-39316,BackToSchoolBash
5/18/2022,social_media,312460,338.37,5855,884,244688.12,PSK-22891,SupplyDrive2021
3/21/2022,video_ads,291989,2297.28,9017,6,547444.37,FSX-30542,SchoolSuppliesSpectacular
7/25/2022,affiliate_network,441043,9507.67,1759,179,422364.43,RNS-15018,SchoolSuppliesSpectacular
4/11/2022,social_media,614990,6709.36,6875,181,98812.59,LYY-12256,SchoolSuppliesSpectacular
7/3/2022,display_ads,818006,5717.5,7272,113,480925.75,OXK-90591,LearningToolsDrive
10/21/2022,affiliate_network,942623,6684.61,2548,4,950558.65,BQS-95779,SchoolSuppliesSpectacular
4/4/2022,influencer_partnership,718912,2349.61,1324,149,614888.3,KTG-26116,BackToSchoolBash
11/5/2022,affiliate_network,231666,1428.87,5006,781,646758.15,GIJ-66957,SchoolSuppliesSpectacular
6/22/2022,display_ads,342514,5331.67,8834,489,863593.57,RTQ-50139,SupplyDrive2021
8/3/2022,affiliate_network,522088,492.56,2257,137,950628.44,RDD-27063,BackToSchoolBash
1/29/2022,content_marketing,38316,5249.01,5004,596,411369.65,YUT-52527,SchoolSuppliesSpectacular
2/28/2022,email_marketing,753725,5950.87,5722,954,838102.02,AAE-96864,SchoolSuppliesSpectacular
5/26/2022,podcast_sponsorship,653348,1321.88,2255,608,637743.61,APT-20974,SchoolSuppliesSpectacular
9/26/2022,email_marketing,954907,8521.84,1111,718,130463.35,HAL-11259,ClassroomEssentialsCampaign
9/21/2022,content_marketing,271172,8971.15,9966,26,667635.76,UOV-75215,SchoolSuppliesSpectacular
2/10/2022,affiliate_network,25023,2120.97,5915,158,421781.82,FIM-30419,ClassroomEssentialsCampaign
7/24/2022,social_media,226787,1249.22,310,997,991543.0,MVG-78325,LearningToolsDrive
10/29/2022,native_advertising,328404,1583.76,3046,617,212917.74,MPZ-20611,SupplyDrive2021
6/27/2022,influencer_partnership,562407,9839.34,5764,713,673484.84,LBP-20988,ClassroomEssentialsCampaign
12/20/2022,native_advertising,794620,5895.06,929,960,305901.75,PHE-37194,SupplyDrive2021
3/30/2022,native_advertising,876671,6285.88,6801,222,243147.64,OFP-68008,LearningToolsDrive
8/8/2022,search_engine,724796,502.7,6707,575,304896.78,XOP-23518,SupplyDrive2021
3/4/2022,search_engine,325494,2488.96,6342,491,763833.39,QQJ-06025,SupplyDrive2021
1/18/2022,influencer_partnership,849805,2485.66,2078,113,228258.49,UWT-80996,LearningToolsDrive
6/17/2022,native_advertising,739983,3317.87,3084,527,928560.9,KOH-18440,SchoolSuppliesSpectacular
9/13/2022,affiliate_network,434744,5353.19,1175,561,897896.68,LSK-41221,SchoolSuppliesSpectacular
8/25/2022,native_advertising,649202,3927.2,556,277,173264.14,SMO-00284,SchoolSuppliesSpectacular
4/23/2022,search_engine,634266,3612.22,3744,432,93316.74,IAJ-59024,SchoolSuppliesSpectacular
9/22/2022,influencer_partnership,407649,2537.8,4567,936,77949.78,KPC-73308,SchoolSuppliesSpectacular
7/6/2022,video_ads,550973,572.45,6067,885,70262.96,IJR-41023,LearningToolsDrive
12/3/2022,native_advertising,209876,9772.19,5753,663,845146.32,LFJ-55210,BackToSchoolBash
1/8/2022,affiliate_network,41209,8868.73,8497,156,210510.62,UGU-04610,BackToSchoolBash
11/6/2022,email_marketing,444503,7536.35,4534,452,842163.12,PYH-09680,SupplyDrive2021
5/27/2022,display_ads,231387,3328.29,9168,939,265130.2,QGI-56649,BackToSchoolBash
1/18/2022,podcast_sponsorship,544139,3735.79,6215,855,171372.25,FEB-88426,SupplyDrive2021
5/4/2022,influencer_partnership,275362,6835.77,6789,758,589377.2,UPG-93177,SupplyDrive2021
8/18/2022,social_media,252185,2497.87,9564,535,191226.4,AZZ-84318,SchoolSuppliesSpectacular
9/25/2022,content_marketing,484766,5233.64,5055,337,758974.25,HCM-01413,LearningToolsDrive
1/28/2022,native_advertising,445485,4397.17,3904,458,399895.45,IBI-20772,ClassroomEssentialsCampaign
3/2/2022,email_marketing,413616,8090.48,8302,978,429472.68,UNG-02694,LearningToolsDrive
12/3/2022,content_marketing,5288,8156.74,6530,922,87788.98,OJO-49226,LearningToolsDrive
5/27/2022,search_engine,475736,4363.81,436,720,210492.81,YCW-49537,ClassroomEssentialsCampaign
11/15/2022,podcast_sponsorship,31979,782.92,5372,549,927353.72,FOZ-35086,ClassroomEssentialsCampaign
